digraph G {
# Proc 24
nqe_138 -> nsbj_243
nqe_138 -> xqcyt_53
nqe_138 -> quqm_402
nqe_138 -> orld_337
nqe_138 -> vknlv_149
nqe_138 -> xkj_234
muw_319 -> nqe_138
muw_319 -> sea_398
ift_322 -> muw_319
ift_322 -> lr_360
ift_322 -> krim_429
nsbj_243 -> pifd_251
nsbj_243 -> vtg_104
nsbj_243 -> tdt_69
xqcyt_53 -> yi_203
lr_360 -> lx_494
lr_360 -> xng_333
quqm_402 -> wmi_119
krim_429 -> va_259
orld_337 -> pp_10
cy_387 -> ift_322
cxg_104 -> cy_387
vknlv_149 -> wo_390
vknlv_149 -> vmrlq_209
xkj_234 -> yhh_268
sea_398 -> tea_247
sea_398 -> yw_378
sea_398 -> sevav_43
pifd_251 -> wltib_274
iyvfd_144 -> kome_320
iyvfd_144 -> jd_187
vtg_104 -> xwh_205
epfr_12 -> iyvfd_144
lx_494 -> oshqn_59
lx_494 -> mve_37
fegc_212 -> isig_88
fegc_212 -> hoar_72
kome_320 -> lve_29
isig_88 -> xphg_121
tdt_69 -> wcy_291
tdt_69 -> uuj_194
xng_333 -> ypdn_479
daxt_183 -> epfr_12
daxt_183 -> fegc_212
wmi_119 -> xs_428
ebkyh_448 -> hj_442
jd_187 -> sa_389
va_259 -> wf_100
ce_240 -> cxg_104
ce_240 -> daxt_183
ce_240 -> ebkyh_448
hoar_72 -> hxagt_329
pp_10 -> th_229
lve_29 -> oheao_413
lve_29 -> thra_219
wo_390 -> xdj_402
wo_390 -> wwcie_244
hj_442 -> hxu_316
hj_442 -> hoheb_74
vmrlq_209 -> vudu_237
vmrlq_209 -> vtt_141
oshqn_59 -> um_96
yi_203 -> ywytm_421
ckuos_312 -> gio_155
ckuos_312 -> foqd_171
ckuos_312 -> fak_478
ckuos_312 -> fvg_6
gio_155 -> guto_96
foqd_171 -> fs_324
mve_37 -> psfqh_104
fak_478 -> fkqhq_265
bb_80 -> ce_240
bb_80 -> ckuos_312
fvg_6 -> hewh_355
tea_247 -> tlyin_413
tea_247 -> uinm_493
yhh_268 -> yupdk_413
yhh_268 -> ykuxq_306
yw_378 -> ywj_420
dwtpn_92 -> fwm_483
hxagt_329 -> jcqf_276
hxagt_329 -> ket_144
sevav_43 -> tulr_165
sevav_43 -> vagm_331
sevav_43 -> tmm_152
guto_96 -> ikfes_484
guto_96 -> ohjr_442
wltib_274 -> ya_253
xwh_205 -> ydxu_469
xwh_205 -> xy_260
xwh_205 -> ycf_256
